name,Median,Median Male,Median Female
Syria,24.3,23.9,24.8
Taiwan,40.7,40,41.5
Tajikistan,24.5,23.9,25.1
Tanzania,17.7,17.5,18
Thailand,37.7,36.6,38.7
Timor-Leste,18.9,18.3,19.6
Togo,19.8,19.5,20.1
Tonga,23,22.5,23.4
Trinidad and Tobago,36,35.6,36.6
Tunisia,31.6,31,32.2
Turkey,30.9,30.5,31.4
Turkmenistan,27.9,27.5,28.4
Turks and Caicos Islands,33.3,33.6,33
Tuvalu,25.7,24.7,26.9
Uganda,15.8,15.7,15.9
Ukraine,40.6,37.4,43.7
United Arab Emirates,30.3,32.1,25
United Kingdom,40.5,39.3,41.7
United States,38.1,36.8,39.4
Uruguay,35,33.1,36.7
Uzbekistan,28.6,28,29.2
Vanuatu,22,21.6,22.4
Venezuela,28.3,27.6,29
Vietnam,30.5,29.4,31.7
Wallis and Futuna,32.2,31.3,33.4
Western Sahara,21.1,20.9,21.3
Yemen,19.5,19.3,19.6
Zambia,16.8,16.6,16.9
Zimbabwe,20,19.6,20.4
